code|text
1003436000|Linear umbilical cord disruption (disorder)
1003437009|Leydig cell hypoplasia due to complete luteinizing hormone receptor inactivation (disorder)
1003438004|Leydig cell hypoplasia due to partial luteinizing hormone receptor inactivation (disorder)
1003439007|Intra-abdominal vitelline remnant (disorder)
1003440009|Laryngeal cleft type 0 (disorder)
1003442001|Synostosis of bilateral humerus, radius and ulna (disorder)
1003443006|Congenital stenosis of male external urethral orifice (disorder)
1003444000|Type 3 lissencephaly (disorder)
1003445004|Lumbosacral spina bifida aperta with hydrocephalus (disorder)
1003446003|Synostosis of bilateral humerus and ulna (disorder)
1003447007|Pelizaeus-Merzbacher disease null syndrome (disorder)
1003448002|Lumbosacral spina bifida aperta (disorder)
1003449005|Paternal 14q32.2 microdeletion (disorder)
1003460001|Progressive avascular necrosis of bilateral lunate bones (disorder)
1003461002|Focal cortical dysplasia type II (disorder)
1003462009|Focal cortical dysplasia type Ib (disorder)
1003463004|Focal cortical dysplasia type I (disorder)
1003464005|Focal cortical dysplasia type Ia (disorder)
1003465006|Familial spinal neurofibromatosis (disorder)
1003466007|Fetal disorder due to maternal autoimmune disease (disorder)
1003468008|Congenital teratoma of nasopharynx (disorder)
1003470004|Screening for neoplasm done (situation)
1003473002|B cell lymphocyte aplasia caused by drug (disorder)
1003488007|Angle closure glaucoma suspect (disorder)
1003489004|Angle closure glaucoma suspect of right eye (disorder)
1003490008|Angle closure glaucoma suspect of left eye (disorder)
1003491007|Angle closure glaucoma suspect of bilateral eyes (disorder)
1003502008|Traumatic fracture of bone (disorder)
1003505005|Agenesis of rib (disorder)
1003507002|Agenesis of lobe of lung (disorder)
1003509004|Agenesis of foot (disorder)
1003510009|Agenesis of hand (disorder)
1003512001|Agenesis of ovary (disorder)
1003513006|Agenesis of femur (disorder)
1003514000|Agenesis of liver (disorder)
1003515004|Agenesis of tibia (disorder)
1003516003|Agenesis of ilium (disorder)
1003518002|Agenesis of pubis (disorder)
1003519005|Agenesis of talus (disorder)
1003520004|Agenesis of vomer (disorder)
1003530008|Glaucoma suspect caused by corticosteroid (disorder)
1003532000|Glaucoma suspect of right eye caused by corticosteroid (disorder)
1003534004|Glaucoma suspect of left eye caused by corticosteroid (disorder)
1003535003|Glaucoma suspect of bilateral eyes caused by corticosteroid (disorder)
1003546000|Agenesis of fibula (disorder)
1003547009|Agenesis of ureter (disorder)
1003548004|Agenesis of testis (disorder)
1003549007|Agenesis of radius (disorder)
1003550007|Agenesis of thymus (disorder)
1003551006|Agenesis of spleen (disorder)
1003552004|Agenesis of urinary bladder (disorder)
1003553009|Agenesis of cilia of eyelid (disorder)
1003554003|Agenesis of humerus (disorder)
1003555002|Agenesis of trachea (disorder)
1003556001|Agenesis of stomach (disorder)
1003557005|Agenesis of ischium (disorder)
1003558000|Agenesis of maxilla (disorder)
1003559008|Agenesis of scapula (disorder)
1003563001|Agenesis of vertebra (disorder)
1003564007|Agenesis of clitoris (disorder)
1003566009|Agenesis of mandible (disorder)
1003567000|Agenesis of bile duct (disorder)
1003568005|Agenesis of diaphragm (disorder)
1003569002|Agenesis of esophagus (disorder)
1003571002|Agenesis of calcaneus (disorder)
1003573004|Agenesis of sternebra (disorder)
1003574005|Agenesis of left hand (disorder)
1003575006|Agenesis of epididymis (disorder)
1003576007|Agenesis of hyoid bone (disorder)
1003577003|Agenesis of nasal bone (disorder)
1003578008|Agenesis of premaxilla (disorder)
1003579000|Agenesis of right hand (disorder)
1003581003|Agenesis of carpal bone (disorder)
1003582005|Agenesis of tarsal bone (disorder)
1003583000|Agenesis of bilateral testes (disorder)
1003584006|Hind brain laceration with open intracranial wound and loss of consciousness (disorder)
1003586008|Congenital synostosis of coronal suture of skull (disorder)
1003594001|Congenital synostosis of left coronal suture of skull (disorder)
1003595000|Congenital synostosis of right coronal suture of skull (disorder)
1003599006|Congenital synostosis of right side of lambdoid suture of skull (disorder)
1003600009|Congenital synostosis of left side of lambdoid suture of skull (disorder)
1003602001|Congenital synostosis of all sutures of skull (disorder)
1003604000|Congenital abnormal fusion of scapula with humerus bone (disorder)
1003605004|Glaucoma suspect due to diabetes mellitus type 2 (disorder)
1003611001|Conjunctival suffusion (finding)
1003612008|Cytochrome P450 family 4 subfamily F member 2 poor metabolizer (finding)
