code|short_name|long_name|display_name|related_names
109224-6|Weed Allerg Mix3 IgE Msmt Ser|Weed Allergen Mix 3 (Mugwort+Goosefoot or Lambs quarters+English plantain+Goldenrod+Nettle) IgE Ab [Measurement] in Serum|Mugwort+Goosefoot or Lambs quarters+English plantain+Goldenrod+Nettle IgE (S) [Measurement]|ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Buckhorn plantain; Engl plantain; English plantain; Golden rod; Goldenrod; Goosefoot; Immune globulin E; Immunoglobulin E; Lab orders; Lamb's quarter; Lambs quarters; Lamb's quarters; Msmt; Mugwort; Nettle; Plantain Buckhorn; Quinoa; Ribwort; Serum; SR; w006; w009; w010; w012; w10; w12; w20; w6; w9; Weed Allerg Mix3; Weed mix; wx3
102115-3|Epid Allerg Mix IgE pl SerPl|Epidermal Allergen Mix (Dog dander+Cat epithelium+Horse dander) Ab.IgE panel - Serum or Plasma|(Dog dander+Cat epithelium+Horse dander) IgE pl|Allergen; Allergens; ALLERGY TESTING; Canine; Dander; Dog hair; e003; e005; e3; e5; Epid Allerg Mix; Epid Allerg Mix IgE pl; Epithelia; Equus spp; Feline; Felis domesticus; Horse dander IgE pnl; Immune globulin E; Immunoglobulin E; Pan; PANEL.ALLERGY; Panl; Pl; Plasma; Plsm; Pnl; Point in time; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR
